,tran_yr,in_fig,graduation_rate
1,1998,FALSE,73.78481704
3,1998,TRUE,77.31884058
5,1999,FALSE,73.82063245
7,1999,TRUE,79.23124613
9,2000,FALSE,76.10751618
11,2000,TRUE,77.05943691
13,2001,FALSE,74.58210423
15,2001,TRUE,78.3655914
17,2002,FALSE,79.10764873
19,2002,TRUE,78.63886703
21,2003,FALSE,78.33333333
23,2003,TRUE,83.34537572
25,2004,FALSE,78.31612391
27,2004,TRUE,82.78599783
29,2005,FALSE,81.39695712
31,2005,TRUE,81.21923514
33,2006,FALSE,78.9503386
35,2006,TRUE,82.73830156
