,tran_yr,in_fig,gender,ethnicity,graduated_in_six,num,total,graduation_rate
1,1998,FALSE,F,asian,TRUE,191,237,80.5907173
3,1998,FALSE,F,black,TRUE,18,28,64.28571429
5,1998,FALSE,F,other,TRUE,104,159,65.40880503
7,1998,FALSE,F,white,TRUE,321,439,73.12072893
9,1998,FALSE,M,asian,TRUE,171,223,76.68161435
11,1998,FALSE,M,black,TRUE,14,36,38.88888889
13,1998,FALSE,M,other,TRUE,135,182,74.17582418
15,1998,FALSE,M,white,TRUE,394,522,75.4789272
17,1998,TRUE,F,asian,TRUE,108,128,84.375
19,1998,TRUE,F,black,TRUE,15,20,75
21,1998,TRUE,F,other,TRUE,110,135,81.48148148
23,1998,TRUE,F,white,TRUE,370,482,76.76348548
25,1998,TRUE,M,asian,TRUE,81,99,81.81818182
27,1998,TRUE,M,black,TRUE,10,12,83.33333333
29,1998,TRUE,M,other,TRUE,66,99,66.66666667
31,1998,TRUE,M,white,TRUE,303,400,75.75
33,1999,FALSE,F,asian,TRUE,233,290,80.34482759
35,1999,FALSE,F,black,TRUE,15,19,78.94736842
36,1999,FALSE,F,hispanic,TRUE,1,1,100
38,1999,FALSE,F,other,TRUE,117,159,73.58490566
40,1999,FALSE,F,white,TRUE,384,513,74.85380117
42,1999,FALSE,M,asian,TRUE,184,243,75.72016461
44,1999,FALSE,M,black,TRUE,9,17,52.94117647
46,1999,FALSE,M,other,TRUE,152,213,71.36150235
48,1999,FALSE,M,white,TRUE,327,471,69.42675159
50,1999,TRUE,F,asian,TRUE,128,155,82.58064516
52,1999,TRUE,F,black,TRUE,11,16,68.75
54,1999,TRUE,F,other,TRUE,109,136,80.14705882
56,1999,TRUE,F,white,TRUE,498,625,79.68
58,1999,TRUE,M,asian,TRUE,96,116,82.75862069
60,1999,TRUE,M,black,TRUE,5,8,62.5
62,1999,TRUE,M,other,TRUE,84,108,77.77777778
64,1999,TRUE,M,white,TRUE,346,448,77.23214286
66,2000,FALSE,F,asian,TRUE,243,301,80.73089701
68,2000,FALSE,F,black,TRUE,7,12,58.33333333
70,2000,FALSE,F,other,TRUE,160,220,72.72727273
72,2000,FALSE,F,white,TRUE,341,448,76.11607143
74,2000,FALSE,M,asian,TRUE,211,272,77.57352941
76,2000,FALSE,M,black,TRUE,16,29,55.17241379
77,2000,FALSE,M,hispanic,TRUE,2,2,100
79,2000,FALSE,M,other,TRUE,144,191,75.39267016
81,2000,FALSE,M,white,TRUE,403,532,75.7518797
83,2000,TRUE,F,asian,TRUE,160,196,81.63265306
85,2000,TRUE,F,black,TRUE,27,34,79.41176471
87,2000,TRUE,F,other,TRUE,126,175,72
89,2000,TRUE,F,white,TRUE,526,686,76.67638484
91,2000,TRUE,M,asian,TRUE,112,145,77.24137931
93,2000,TRUE,M,black,TRUE,16,23,69.56521739
95,2000,TRUE,M,other,TRUE,112,137,81.75182482
97,2000,TRUE,M,white,TRUE,401,524,76.52671756
99,2001,FALSE,F,asian,TRUE,241,312,77.24358974
101,2001,FALSE,F,black,TRUE,17,26,65.38461538
102,2001,FALSE,F,hispanic,TRUE,2,2,100
104,2001,FALSE,F,other,TRUE,158,217,72.81105991
106,2001,FALSE,F,white,TRUE,320,432,74.07407407
108,2001,FALSE,M,asian,TRUE,216,284,76.05633803
110,2001,FALSE,M,black,TRUE,12,17,70.58823529
112,2001,FALSE,M,other,TRUE,208,278,74.82014388
114,2001,FALSE,M,white,TRUE,343,466,73.60515021
116,2001,TRUE,F,asian,TRUE,184,213,86.38497653
118,2001,TRUE,F,black,TRUE,31,38,81.57894737
119,2001,TRUE,F,hispanic,TRUE,1,1,100
121,2001,TRUE,F,other,TRUE,169,220,76.81818182
123,2001,TRUE,F,white,TRUE,610,791,77.11757269
125,2001,TRUE,M,asian,TRUE,175,209,83.73205742
127,2001,TRUE,M,black,TRUE,13,19,68.42105263
129,2001,TRUE,M,other,TRUE,163,217,75.11520737
131,2001,TRUE,M,white,TRUE,476,617,77.14748784
133,2002,FALSE,F,asian,TRUE,216,254,85.03937008
135,2002,FALSE,F,black,TRUE,3,6,50
137,2002,FALSE,F,other,TRUE,105,142,73.94366197
139,2002,FALSE,F,white,TRUE,234,300,78
141,2002,FALSE,M,asian,TRUE,152,192,79.16666667
143,2002,FALSE,M,black,TRUE,10,14,71.42857143
145,2002,FALSE,M,other,TRUE,109,149,73.15436242
147,2002,FALSE,M,white,TRUE,286,352,81.25
149,2002,TRUE,F,asian,TRUE,250,303,82.50825083
151,2002,TRUE,F,black,TRUE,37,46,80.43478261
153,2002,TRUE,F,other,TRUE,152,207,73.42995169
155,2002,TRUE,F,white,TRUE,693,879,78.83959044
157,2002,TRUE,M,asian,TRUE,171,205,83.41463415
159,2002,TRUE,M,black,TRUE,19,32,59.375
161,2002,TRUE,M,other,TRUE,145,189,76.71957672
163,2002,TRUE,M,white,TRUE,526,674,78.04154303
165,2003,FALSE,F,asian,TRUE,163,193,84.45595855
167,2003,FALSE,F,black,TRUE,13,16,81.25
169,2003,FALSE,F,other,TRUE,96,123,78.04878049
171,2003,FALSE,F,white,TRUE,234,310,75.48387097
173,2003,FALSE,M,asian,TRUE,158,190,83.15789474
175,2003,FALSE,M,black,TRUE,6,12,50
177,2003,FALSE,M,other,TRUE,105,135,77.77777778
179,2003,FALSE,M,white,TRUE,258,339,76.10619469
181,2003,TRUE,F,asian,TRUE,311,362,85.91160221
183,2003,TRUE,F,black,TRUE,43,52,82.69230769
185,2003,TRUE,F,other,TRUE,176,204,86.2745098
187,2003,TRUE,F,white,TRUE,760,927,81.98489752
189,2003,TRUE,M,asian,TRUE,251,294,85.37414966
191,2003,TRUE,M,black,TRUE,38,48,79.16666667
193,2003,TRUE,M,other,TRUE,138,166,83.13253012
195,2003,TRUE,M,white,TRUE,589,714,82.4929972
197,2004,FALSE,F,asian,TRUE,167,212,78.77358491
199,2004,FALSE,F,black,TRUE,14,18,77.77777778
200,2004,FALSE,F,hispanic,TRUE,2,2,100
202,2004,FALSE,F,other,TRUE,86,112,76.78571429
204,2004,FALSE,F,white,TRUE,236,301,78.40531561
206,2004,FALSE,M,asian,TRUE,129,156,82.69230769
208,2004,FALSE,M,black,TRUE,11,17,64.70588235
210,2004,FALSE,M,other,TRUE,100,141,70.92198582
212,2004,FALSE,M,white,TRUE,241,300,80.33333333
214,2004,TRUE,F,asian,TRUE,305,362,84.25414365
216,2004,TRUE,F,black,TRUE,42,52,80.76923077
218,2004,TRUE,F,other,TRUE,209,252,82.93650794
220,2004,TRUE,F,white,TRUE,754,907,83.13120176
222,2004,TRUE,M,asian,TRUE,209,238,87.81512605
224,2004,TRUE,M,black,TRUE,23,33,69.6969697
225,2004,TRUE,M,hispanic,TRUE,1,1,100
227,2004,TRUE,M,other,TRUE,148,192,77.08333333
229,2004,TRUE,M,white,TRUE,601,732,82.10382514
231,2005,FALSE,F,asian,TRUE,194,225,86.22222222
233,2005,FALSE,F,black,TRUE,9,13,69.23076923
236,2005,FALSE,F,other,TRUE,114,137,83.21167883
238,2005,FALSE,F,white,TRUE,291,353,82.43626062
240,2005,FALSE,M,asian,TRUE,159,197,80.7106599
242,2005,FALSE,M,black,TRUE,9,12,75
244,2005,FALSE,M,other,TRUE,114,144,79.16666667
246,2005,FALSE,M,white,TRUE,285,362,78.72928177
248,2005,TRUE,F,asian,TRUE,265,312,84.93589744
250,2005,TRUE,F,black,TRUE,33,45,73.33333333
252,2005,TRUE,F,other,TRUE,143,181,79.00552486
254,2005,TRUE,F,white,TRUE,752,913,82.36582694
256,2005,TRUE,M,asian,TRUE,207,259,79.92277992
258,2005,TRUE,M,black,TRUE,21,35,60
259,2005,TRUE,M,hispanic,TRUE,2,2,100
261,2005,TRUE,M,other,TRUE,138,184,75
263,2005,TRUE,M,white,TRUE,582,708,82.20338983
265,2006,FALSE,F,asian,TRUE,183,225,81.33333333
267,2006,FALSE,F,black,TRUE,17,21,80.95238095
269,2006,FALSE,F,other,TRUE,137,165,83.03030303
271,2006,FALSE,F,white,TRUE,331,445,74.38202247
273,2006,FALSE,M,asian,TRUE,196,234,83.76068376
275,2006,FALSE,M,black,TRUE,14,22,63.63636364
277,2006,FALSE,M,other,TRUE,121,157,77.07006369
279,2006,FALSE,M,white,TRUE,399,502,79.48207171
281,2006,TRUE,F,asian,TRUE,311,367,84.74114441
283,2006,TRUE,F,black,TRUE,48,58,82.75862069
285,2006,TRUE,F,hispanic,TRUE,2,3,66.66666667
287,2006,TRUE,F,other,TRUE,196,251,78.0876494
289,2006,TRUE,F,white,TRUE,803,944,85.06355932
291,2006,TRUE,M,asian,TRUE,230,273,84.24908425
293,2006,TRUE,M,black,TRUE,24,38,63.15789474
295,2006,TRUE,M,hispanic,TRUE,2,3,66.66666667
297,2006,TRUE,M,other,TRUE,182,218,83.48623853
299,2006,TRUE,M,white,TRUE,586,727,80.60522696
