,tran_yr,in_fig,graduation_rate
1,1998,FALSE,73.46465817
3,1998,TRUE,78.82352941
5,1999,FALSE,76.37474542
7,1999,TRUE,80.04291845
9,2000,FALSE,76.55453619
11,2000,TRUE,76.90192484
13,2001,FALSE,74.62082912
15,2001,TRUE,78.78068092
17,2002,FALSE,79.48717949
19,2002,TRUE,78.88501742
21,2003,FALSE,78.81619938
23,2003,TRUE,83.49514563
25,2004,FALSE,78.29457364
27,2004,TRUE,83.28035601
29,2005,FALSE,83.40192044
31,2005,TRUE,82.2191592
33,2006,FALSE,78.03738318
35,2006,TRUE,83.79544054
