,tran_yr,in_fig,graduation_rate
1,1998,FALSE,74.14330218
3,1998,TRUE,75.40983607
5,1999,FALSE,71.18644068
7,1999,TRUE,78.08823529
9,2000,FALSE,75.63352827
11,2000,TRUE,77.32207479
13,2001,FALSE,74.54545455
15,2001,TRUE,77.87193974
17,2002,FALSE,78.78359264
19,2002,TRUE,78.27272727
21,2003,FALSE,77.95857988
23,2003,TRUE,83.14238953
25,2004,FALSE,78.33876221
27,2004,TRUE,82.10702341
29,2005,FALSE,79.3006993
31,2005,TRUE,79.96632997
33,2006,FALSE,79.78142077
35,2006,TRUE,81.33439237
