,tran_yr,in_fig,graduation_rate
1,1998,FALSE,74.42827443
3,1998,TRUE,76.30385488
5,1999,FALSE,72.25609756
7,1999,TRUE,78.65796831
9,2000,FALSE,75.91836735
11,2000,TRUE,76.61157025
13,2001,FALSE,73.83073497
15,2001,TRUE,77.13068182
17,2002,FALSE,79.66360856
19,2002,TRUE,78.53470437
21,2003,FALSE,75.80893683
23,2003,TRUE,82.20597197
25,2004,FALSE,79.36772047
27,2004,TRUE,82.68292683
29,2005,FALSE,80.58659218
31,2005,TRUE,82.30579531
33,2006,FALSE,77.10970464
35,2006,TRUE,83.15412186
